"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","Lying Leg Curl (Machine)",,"",0,"failure",36,12,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","Lying Leg Curl (Machine)",,"",1,"failure",36,8,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","Lying Leg Curl (Machine)",,"",2,"failure",36,8,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","EZ Bar Biceps Curl",,"",0,"normal",25,10,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","EZ Bar Biceps Curl",,"",1,"normal",20,15,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","EZ Bar Biceps Curl",,"",2,"normal",20,13,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","Iso-Lateral Chest Press (Machine)",,"",0,"normal",10,15,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","Iso-Lateral Chest Press (Machine)",,"",1,"normal",10,10,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","Iso-Lateral Chest Press (Machine)",,"",2,"normal",5,8,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",43,14,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",43,9,,,
"Evening workout 🏋️","14 Mar 2025, 19:47","14 Mar 2025, 19:47","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",43,8,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Deadlift (Trap bar)",,"",0,"normal",75,13,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Deadlift (Trap bar)",,"",1,"normal",75,7,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Deadlift (Trap bar)",,"",2,"normal",75,6,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Arnold Press (Dumbbell)",,"",0,"normal",12.5,7,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Arnold Press (Dumbbell)",,"",1,"normal",10,12,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Arnold Press (Dumbbell)",,"",2,"normal",10,7,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Triceps Rope Pushdown",,"",0,"normal",43,10,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Triceps Rope Pushdown",,"",1,"normal",43,7,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Triceps Rope Pushdown",,"",2,"normal",43,8,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Russian Twist (Weighted)",,"",0,"normal",7.5,30,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Russian Twist (Weighted)",,"",1,"normal",7.5,40,,,
"Evening workout 🏋️","13 Mar 2025, 19:31","13 Mar 2025, 20:39","","Russian Twist (Weighted)",,"",2,"normal",7.5,40,,,
"Evening workout 🏋️","12 Mar 2025, 19:39","12 Mar 2025, 20:43","","Lateral Raise (Dumbbell)",,"",0,"normal",10,15,,,
